test case	grammatical	ungrammatical
obj_rel_across_anim--sing_MS_MV_sing_ES_EV	the author that the dancer admires is tall.	the author that the dancer admires are tall.
obj_rel_across_anim--sing_MS_MV_plur_ES_EV	the farmer that the dancers hate laughs.	the farmer that the dancers hate laugh.
obj_rel_across_anim--plur_MS_MV_sing_ES_EV	the senators that the minister admires swim.	the senators that the minister admires swims.
obj_rel_across_anim--plur_MS_MV_plur_ES_EV	the consultants that the skaters like smile.	the consultants that the skaters like smiles.
obj_rel_within_anim--sing_ES_EV_sing_MS_MV	the surgeon that the guard admires is tall.	the surgeon that the guard admire is tall.
obj_rel_within_anim--sing_ES_EV_plur_MS_MV	the officers that the minister admires laugh.	the officers that the minister admire laugh.
obj_rel_within_anim--plur_ES_EV_sing_MS_MV	the author that the assistants hate is short.	the author that the assistants hates is short.
obj_rel_within_anim--plur_ES_EV_plur_MS_MV	the pilots that the ministers hate are old.	the pilots that the ministers hates are old.
obj_rel_across_inanim--sing_IS_IV_sing_ES_EV	the novel that the dancer likes brings joy to people.	the novel that the dancer likes bring joy to people.
obj_rel_across_inanim--sing_IS_IV_plur_ES_EV	the song that the architects like is bad.	the song that the architects like are bad.
obj_rel_across_inanim--plur_IS_IV_sing_ES_EV	the movies that the parent hates are new.	the movies that the parent hates is new.
obj_rel_across_inanim--plur_IS_IV_plur_ES_EV	the paintings that the executives like are good.	the paintings that the executives like is good.
obj_rel_within_inanim--sing_ES_EV_sing_IS_IV	the painting that the minister hates is unpopular.	the painting that the minister hate is unpopular.
obj_rel_within_inanim--sing_ES_EV_plur_IS_IV	the books that the executive hates interest people.	the books that the executive hate interest people.
obj_rel_within_inanim--plur_ES_EV_sing_IS_IV	the game that the ministers like is popular.	the game that the ministers likes is popular.
obj_rel_within_inanim--plur_ES_EV_plur_IS_IV	the books that the executives hate bring joy to people.	the books that the executives hates bring joy to people.
subj_rel--sing_MS_EV_MV_sing_ES	the consultant that likes the parent is old.	the consultant that likes the parent are old.
subj_rel--sing_MS_EV_MV_plur_ES	the teacher that likes the ministers smiles.	the teacher that likes the ministers smile.
subj_rel--plur_MS_EV_MV_sing_ES	the senators that hate the dancer smile.	the senators that hate the dancer smiles.
subj_rel--plur_MS_EV_MV_plur_ES	the consultants that like the skaters are young.	the consultants that like the skaters is young.
prep_anim--sing_MS_MV_sing_ES	the senator in front of the chef laughs.	the senator in front of the chef laugh.
prep_anim--sing_MS_MV_plur_ES	the farmer across from the parents laughs.	the farmer across from the parents laugh.
prep_anim--plur_MS_MV_sing_ES	the customers near the executive are short.	the customers near the executive is short.
prep_anim--plur_MS_MV_plur_ES	the consultants near the chefs are short.	the consultants near the chefs is short.
prep_inanim--sing_IS_IV_sing_ES	the painting from the minister is popular.	the painting from the minister are popular.
prep_inanim--sing_IS_IV_plur_ES	the movie from the taxi drivers brings joy to people.	the movie from the taxi drivers bring joy to people.
prep_inanim--plur_IS_IV_sing_ES	the shows by the skater are bad.	the shows by the skater is bad.
prep_inanim--plur_IS_IV_plur_ES	the songs from the ministers bring joy to people.	the songs from the ministers brings joy to people.
obj_rel_no_comp_across_anim--sing_MS_MV_sing_ES_EV	the pilot the architect likes swims.	the pilot the architect likes swim.
obj_rel_no_comp_across_anim--sing_MS_MV_plur_ES_EV	the author the architects admire is tall.	the author the architects admire are tall.
obj_rel_no_comp_across_anim--plur_MS_MV_sing_ES_EV	the officers the guard loves are tall.	the officers the guard loves is tall.
obj_rel_no_comp_across_anim--plur_MS_MV_plur_ES_EV	the authors the ministers love are old.	the authors the ministers love is old.
obj_rel_no_comp_within_anim--sing_ES_EV_sing_MS_MV	the teacher the parent admires laughs.	the teacher the parent admire laughs.
obj_rel_no_comp_within_anim--sing_ES_EV_plur_MS_MV	the senators the chef loves are tall.	the senators the chef love are tall.
obj_rel_no_comp_within_anim--plur_ES_EV_sing_MS_MV	the teacher the architects love is tall.	the teacher the architects loves is tall.
